City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Suluq,LY,2021-04-25 00:05:16,31.6682,20.2521,61.07,77,33,20.74
212,Bathsheba,BB,2021-04-25 00:05:16,13.2167,-59.5167,78.8,61,40,18.41
213,Alofi,NU,2021-04-25 00:02:39,-19.0595,-169.9187,84.2,79,74,6.91
214,Shunyi,CN,2021-04-25 00:05:16,40.125,116.6453,60.8,72,100,2.24
215,Katsuura,JP,2021-04-25 00:05:17,35.1333,140.3,64.4,59,75,13.8
216,Chuy,UY,2021-04-25 00:05:17,-33.6971,-53.4616,65.17,93,100,8.46
217,Ondo,NG,2021-04-25 00:05:17,7.1,4.8333,73.49,98,81,0.65
218,Jurado,CO,2021-04-25 00:05:18,7.1053,-77.7641,79.2,85,75,2.04
219,Pangkalanbuun,ID,2021-04-25 00:05:18,-2.6833,111.6167,79.65,75,67,2.37
220,Hasaki,JP,2021-04-25 00:05:19,35.7333,140.8333,64.0,63,75,10.36
221,Chegdomyn,RU,2021-04-25 00:05:19,51.1167,133.0167,36.25,26,1,7.43
222,Dombarovskiy,RU,2021-04-25 00:05:19,50.7587,59.5386,41.77,92,68,9.69
223,Esna,EG,2021-04-25 00:05:20,25.2934,32.554,77.0,20,0,8.97
224,Korla,CN,2021-04-25 00:02:28,41.7597,86.1469,41.4,59,23,21.36
225,Bumba,CD,2021-04-25 00:05:20,2.1833,22.4667,73.26,91,100,2.48
226,Rio Piracicaba,BR,2021-04-25 00:05:21,-19.9292,-43.1742,63.63,96,6,0.34
227,Bukama,CD,2021-04-25 00:05:21,-9.2,25.85,68.29,98,100,0.51
228,Barvinkove,UA,2021-04-25 00:05:21,48.9097,37.0205,35.94,69,2,7.63
229,Albion,US,2021-04-25 00:05:22,42.2431,-84.753,51.01,81,90,3.22
230,Tilichiki,RU,2021-04-25 00:02:57,60.4667,166.1,29.48,98,100,2.66
231,Bhuj,IN,2021-04-25 00:05:22,23.2667,69.6667,80.02,57,1,5.95
232,Vao,NC,2021-04-25 00:02:27,-22.6667,167.4833,75.63,68,100,11.41
233,Nicoya,CR,2021-04-25 00:05:23,10.1483,-85.452,83.43,67,80,4.09
234,Athabasca,CA,2021-04-25 00:05:23,54.7169,-113.2854,44.6,22,93,10.36
235,Khuzhir,RU,2021-04-25 00:05:24,53.1939,107.3397,34.02,97,100,2.66
236,Petatlan,MX,2021-04-25 00:05:24,17.5167,-101.2667,84.2,70,1,5.41
237,Port Hardy,CA,2021-04-25 00:05:24,50.6996,-127.4199,50.0,87,90,2.3
238,Cherskiy,RU,2021-04-25 00:05:25,68.75,161.3,20.3,86,95,14.27
239,Gaoual,GN,2021-04-25 00:05:25,11.75,-13.2,80.44,53,2,5.39
240,Codrington,AU,2021-04-25 00:05:25,-38.2667,141.9667,57.88,77,87,5.99
241,Portsoy,GB,2021-04-25 00:05:26,57.6814,-2.6896,41.0,70,87,8.01
242,Swan River,CA,2021-04-25 00:02:45,52.1058,-101.2676,42.8,28,100,10.36
243,Tehachapi,US,2021-04-25 00:05:26,35.1322,-118.449,64.0,27,58,11.99
244,Lanxi,CN,2021-04-25 00:05:27,29.2195,119.477,64.58,93,100,4.9
245,Muros,ES,2021-04-25 00:05:27,42.7762,-9.0603,57.99,94,98,5.99
246,Shushenskoye,RU,2021-04-25 00:05:27,53.325,91.9356,32.0,64,0,4.47
247,Langham,CA,2021-04-25 00:05:28,52.3668,-106.9679,42.8,21,75,8.05
248,Deputatskiy,RU,2021-04-25 00:05:28,69.3,139.9,17.2,87,100,5.66
249,Dwarka,IN,2021-04-25 00:05:29,22.2394,68.9678,80.51,78,3,11.36
250,Lebu,CL,2021-04-25 00:05:29,-37.6167,-73.65,54.27,81,0,15.93
251,Wiesbaden,DE,2021-04-25 00:05:29,50.0833,8.25,48.99,61,1,4.61
252,Saint Anthony,US,2021-04-25 00:01:18,45.0205,-93.218,50.0,32,40,11.5
253,Tagusao,PH,2021-04-25 00:05:30,9.1924,117.8141,81.55,78,97,4.34
254,Yeniseysk,RU,2021-04-25 00:05:30,58.4497,92.1703,33.08,98,100,4.29
255,Sulangan,PH,2021-04-25 00:05:31,11.1373,123.7228,81.95,74,99,6.15
256,Haldibari,IN,2021-04-25 00:05:31,26.3333,88.7667,75.56,40,100,7.14
257,Carnarvon,AU,2021-04-25 00:02:39,-24.8667,113.6333,60.8,72,0,6.91
258,Abnub,EG,2021-04-25 00:05:32,27.2696,31.1511,68.0,56,0,6.91
259,Hoquiam,US,2021-04-25 00:05:32,46.9809,-123.8893,51.01,93,90,3.67
260,Coahuayana,MX,2021-04-25 00:05:33,18.7333,-103.6833,80.6,36,1,5.57
261,Victoria,HK,2021-04-25 00:03:00,22.2855,114.1577,78.01,87,67,1.99
262,Camacha,PT,2021-04-25 00:03:43,33.0833,-16.3333,62.6,77,20,14.97
263,Rosa Zarate,EC,2021-04-25 00:05:34,0.3333,-79.4667,75.9,93,92,4.85
264,Russell,US,2021-04-25 00:05:34,32.3502,-85.1999,68.0,94,90,8.05
265,San Patricio,US,2021-04-25 00:05:12,28.017,-97.5169,93.2,16,1,10.36
266,Mutoko,ZW,2021-04-25 00:05:35,-17.397,32.2268,58.41,85,80,3.85
267,Sri Aman,MY,2021-04-25 00:05:35,1.2376,111.4621,75.2,100,93,3.44
268,Grindavik,IS,2021-04-25 00:05:35,63.8424,-22.4338,44.6,93,90,20.71
269,Le Port,RE,2021-04-25 00:03:52,-20.9373,55.2919,75.2,88,75,17.27
270,Abu Samrah,SY,2021-04-25 00:05:36,35.3029,37.1841,72.12,35,60,4.07
271,Adrar,MR,2021-04-25 00:01:55,20.5022,-10.0711,79.99,11,22,9.64
272,Kavaratti,IN,2021-04-25 00:05:36,10.5669,72.642,84.22,71,29,12.26
273,Mnogovershinnyy,RU,2021-04-25 00:05:37,53.9353,139.9242,27.09,60,69,9.84
274,Marion,US,2021-04-25 00:05:37,39.7684,-86.1555,53.6,82,90,4.61
